YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
1901,1232.7,1417.8,738.4000000000001,1623.6000000000006,2465.2,6811.3,10192.3,10546.400000000001,4695.4,2579.3999999999996,2266.5,378.29999999999995,44947.5,2650.2999999999997,4827.199999999999,32245.700000000008,5224.2
1902,298.2,290.7,733.2999999999998,1602.0000000000005,2521.399999999999,5908.7,12290.099999999999,8393.000000000002,9051.4,3035.0,1521.0,1160.3,46805.6,588.5000000000001,4857.2,35643.50000000001,5716.7
1903,589.8000000000001,501.99999999999994,930.2000000000002,594.0999999999999,2808.2999999999997,6019.599999999999,12673.799999999997,10481.900000000001,7581.7,4387.100000000001,1649.7999999999997,758.6,47596.89999999999,1091.9,4331.900000000001,36756.8,6716.2
1904,409.4,328.70000000000005,1010.8,1449.1,3235.9,8312.0,10919.000000000002,7595.500000000001,5859.1,2959.2999999999997,691.4999999999998,517.0,43287.0,737.6999999999999,5695.7,32685.599999999995,4168.000000000001
1905,812.0,716.7,1432.8999999999999,1216.3999999999999,2675.2999999999997,5768.2,10091.000000000002,8637.300000000003,6274.100000000001,2735.9,560.9000000000001,595.2,41516.200000000004,1528.6000000000004,5324.5,30770.999999999996,3892.2000000000003
1906,741.9999999999999,1604.2000000000003,933.4999999999998,567.4000000000001,2240.3999999999996,8192.000000000002,12094.799999999997,10148.4,6265.0,2525.0,889.0999999999999,978.3,47180.2,2346.2000000000007,3741.5999999999995,36699.5,4392.8
1907,684.1,1383.0999999999997,1421.3000000000002,2330.6000000000004,1883.8999999999996,7266.599999999999,10602.6,11843.600000000002,4112.9,1440.7,1761.4999999999998,712.5,45443.899999999994,2067.599999999999,5635.699999999999,33825.9,3914.600000000001
1908,681.2999999999998,680.1999999999998,268.09999999999997,1304.0,2541.3999999999996,6662.999999999999,13822.599999999999,11436.699999999997,6180.299999999999,1849.9999999999998,561.2,464.4000000000001,46453.700000000004,1361.5999999999997,4113.7,38103.49999999999,2875.2000000000003
1909,829.3,457.30000000000007,251.59999999999997,2215.6,2355.5,9186.100000000004,12117.799999999997,8957.7,6006.3,1836.0,516.7,947.9000000000001,45677.799999999996,1286.8000000000004,4822.2,36268.0,3300.600000000001
1910,438.59999999999997,349.00000000000006,688.4000000000001,1096.6000000000001,2048.7999999999993,9841.200000000003,10056.7,11131.9,7928.5,4621.8,1768.4999999999998,295.1000000000001,50265.100000000006,787.2999999999998,3833.9000000000005,38958.50000000001,6685.5
1911,1359.0000000000002,147.20000000000002,1552.4,963.1000000000001,2440.399999999999,9035.099999999999,7794.8,8145.6,6663.199999999999,3422.8,1784.0,789.4,44096.9,1506.0000000000002,4956.099999999998,31638.199999999993,5996.700000000002
1912,1150.0999999999997,701.1,731.3000000000003,1621.2999999999997,2123.8999999999996,6384.8,13546.3,10289.099999999999,4855.8,3009.1,2117.7999999999997,240.1,46771.8,1851.5,4476.700000000001,35076.6,5367.300000000001
1913,301.5,1278.4000000000008,891.3000000000002,952.8999999999996,3278.099999999999,9813.3,11365.5,7382.600000000001,4709.7,3323.7000000000003,800.8000000000001,910.5,45008.60000000001,1580.1000000000004,5122.3,33271.200000000004,5035.1
1914,123.80000000000001,919.4999999999995,903.0,1602.6000000000001,2950.7,7461.000000000001,14658.5,10279.500000000002,7685.800000000001,2350.7000000000003,1138.2,1279.3000000000002,51352.19999999999,1043.2999999999997,5456.2,40084.200000000004,4768.400000000001
1915,665.8000000000001,1248.2999999999997,1582.5000000000002,1357.8000000000004,2877.2,7375.4,9919.500000000002,8630.599999999999,7095.5,3731.8,2063.6,633.4,47181.7,1914.4000000000003,5817.800000000001,33020.299999999996,6428.999999999999
1916,146.39999999999998,636.4000000000002,410.00000000000006,1467.8000000000006,3027.5999999999985,10947.699999999999,11237.900000000001,11704.5,8988.3,5596.8,2027.9999999999998,226.79999999999998,53399.90000000001,782.9,4905.299999999999,40789.99999999999,7851.4
