,SUBDIVISION,YEAR,JJAS1,P1,JJAS2,P2,JJAS3,P3,ANNUAL
0,Andaman & Nicobar Islands,1904,1874.0,2957.4,2185.9,3520.7,1696.3,3373.2,3079.6
1,Andaman & Nicobar Islands,1905,1977.6,3079.6,1874.0,2957.4,2185.9,3520.7,2566.7
2,Andaman & Nicobar Islands,1906,1624.9,2566.7,1977.6,3079.6,1874.0,2957.4,2534.4
3,Andaman & Nicobar Islands,1907,1465.8,2534.4,1624.9,2566.7,1977.6,3079.6,3347.9
4,Andaman & Nicobar Islands,1908,1327.1,3347.9,1465.8,2534.4,1624.9,2566.7,3576.4
5,Andaman & Nicobar Islands,1910,2303.7,3576.4,1327.1,3347.9,1465.8,2534.4,2899.4
6,Andaman & Nicobar Islands,1911,1701.0,2899.4,2303.7,3576.4,1327.1,3347.9,2687.2
7,Andaman & Nicobar Islands,1912,1553.6,2687.2,1701.0,2899.4,2303.7,3576.4,2960.5
8,Andaman & Nicobar Islands,1913,1775.2,2960.5,1553.6,2687.2,1701.0,2899.4,2365.8
9,Andaman & Nicobar Islands,1914,1596.7,2365.8,1775.2,2960.5,1553.6,2687.2,2957.8
10,Andaman & Nicobar Islands,1915,2007.4,2957.8,1596.7,2365.8,1775.2,2960.5,2741.3
11,Andaman & Nicobar Islands,1916,1350.7,2741.3,2007.4,2957.8,1596.7,2365.8,2937.5
12,Andaman & Nicobar Islands,1917,1753.6,2937.5,1350.7,2741.3,2007.4,2957.8,2612.4
13,Andaman & Nicobar Islands,1918,1605.1,2612.4,1753.6,2937.5,1350.7,2741.3,3275.0
14,Andaman & Nicobar Islands,1919,1670.4,3275.0,1605.1,2612.4,1753.6,2937.5,2352.1
15,Andaman & Nicobar Islands,1920,1219.5,2352.1,1670.4,3275.0,1605.1,2612.4,2943.2
16,Andaman & Nicobar Islands,1921,1814.1,2943.2,1219.5,2352.1,1670.4,3275.0,2606.4
17,Andaman & Nicobar Islands,1922,1681.0,2606.4,1814.1,2943.2,1219.5,2352.1,3554.2
18,Andaman & Nicobar Islands,1923,1751.0,3554.2,1681.0,2606.4,1814.1,2943.2,2926.37358490566
19,Andaman & Nicobar Islands,1924,2188.0,2926.37358490566,1751.0,3554.2,1681.0,2606.4,2926.37358490566
20,Andaman & Nicobar Islands,1925,1296.6,2926.37358490566,2188.0,2926.37358490566,1751.0,3554.2,2480.5
21,Andaman & Nicobar Islands,1926,1385.7,2480.5,1296.6,2926.37358490566,2188.0,2926.37358490566,3282.2
22,Andaman & Nicobar Islands,1927,1808.3,3282.2,1385.7,2480.5,1296.6,2926.37358490566,2442.9
23,Andaman & Nicobar Islands,1928,1124.8,2442.9,1808.3,3282.2,1385.7,2480.5,2998.3
24,Andaman & Nicobar Islands,1929,1612.8,2998.3,1124.8,2442.9,1808.3,3282.2,2926.6
25,Andaman & Nicobar Islands,1930,1540.4,2926.6,1612.8,2998.3,1124.8,2442.9,3075.1
26,Andaman & Nicobar Islands,1931,1975.4,3075.1,1540.4,2926.6,1612.8,2998.3,2357.7
27,Andaman & Nicobar Islands,1932,1548.2,2357.7,1975.4,3075.1,1540.4,2926.6,2926.37358490566
28,Andaman & Nicobar Islands,1933,1703.708256880734,2926.37358490566,1548.2,2357.7,1975.4,3075.1,2987.5
29,Andaman & Nicobar Islands,1934,1973.9,2987.5,1703.708256880734,2926.37358490566,1548.2,2357.7,3722.8
30,Andaman & Nicobar Islands,1935,2717.9,3722.8,1973.9,2987.5,1703.708256880734,2926.37358490566,3154.0
31,Andaman & Nicobar Islands,1936,1733.3,3154.0,2717.9,3722.8,1973.9,2987.5,2926.37358490566
32,Andaman & Nicobar Islands,1937,2109.8,2926.37358490566,1733.3,3154.0,2717.9,3722.8,3591.1
33,Andaman & Nicobar Islands,1938,1863.8,3591.1,2109.8,2926.37358490566,1733.3,3154.0,3264.4
34,Andaman & Nicobar Islands,1939,1930.6,3264.4,1863.8,3591.1,2109.8,2926.37358490566,2782.5
35,Andaman & Nicobar Islands,1940,1591.9,2782.5,1930.6,3264.4,1863.8,3591.1,3007.5
36,Andaman & Nicobar Islands,1941,1970.2,3007.5,1591.9,2782.5,1930.6,3264.4,2898.2
37,Andaman & Nicobar Islands,1942,1627.4,2898.2,1970.2,3007.5,1591.9,2782.5,2926.37358490566
38,Andaman & Nicobar Islands,1946,1703.708256880734,2926.37358490566,1627.4,2898.2,1970.2,3007.5,2791.6
39,Andaman & Nicobar Islands,1947,1570.6,2791.6,1703.708256880734,2926.37358490566,1627.4,2898.2,2926.37358490566
40,Andaman & Nicobar Islands,1949,1703.708256880734,2926.37358490566,1570.6,2791.6,1703.708256880734,2926.37358490566,3489.6
41,Andaman & Nicobar Islands,1950,2433.2,3489.6,1703.708256880734,2926.37358490566,1570.6,2791.6,2422.2
42,Andaman & Nicobar Islands,1951,1578.4,2422.2,2433.2,3489.6,1703.708256880734,2926.37358490566,3275.1
43,Andaman & Nicobar Islands,1952,1747.4,3275.1,1578.4,2422.2,2433.2,3489.6,3079.9
44,Andaman & Nicobar Islands,1953,1824.8,3079.9,1747.4,3275.1,1578.4,2422.2,2721.9
45,Andaman & Nicobar Islands,1954,1627.1,2721.9,1824.8,3079.9,1747.4,3275.1,3449.0
46,Andaman & Nicobar Islands,1955,2419.4,3449.0,1627.1,2721.9,1824.8,3079.9,3349.6
